trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2015		Using Text Similarity to Detect Social Interactions not Captured by Formal Reply Mechanisms	IEEE eScience Conference	BARBOSA, S. ; Cesar Jr, Roberto M. ; COSLEY, D.	Qualis nao identificado	IEEE eScience Conference
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2015		Attributed Graphs for Tracking Multiple Objects in Structured Sports Videos	International Conference on Computer Vision Workshops - CVsports	MORIMITSU, H. ; CESAR-JR, ROBERTO M. ; BLOCH, Isabelle	Qualis nao identificado	International Conference on Computer Vision Workshops - CVsports
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2014		Improved object matching using structural relations	IAPR Statistical	DAZZI, E. ; T. E. Campos ; Cesar Jr, Roberto M.	Qualis nao identificado	IAPR Statistical
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2014		A Spatio-Temporal Approach for Multiple Object Detection in Videos Using Graphs and Probability Maps	International Conference on Image Analysis and Recognition - ICIAR 2014	MORIMITSU, H. ; Cesar Jr, Roberto M. ; BLOCH, Isabelle	Qualis nao identificado	International Conference on Image Analysis and Recognition - ICIAR 2014
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2013		Visual Rhythm-based method for continuous plankton monitoring	IEEE eScience Conference	MATUSZEWSKI, D. J. ; LOPES, R. M. ; CESAR-JR, ROBERTO M.	Qualis nao identificado	IEEE eScience Conference
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2013		Using Link Prediction to Estimate the Collaborative Influence of Researchers	IEEE eScience Conference	CERVANTES, E. P. ; Mena-Chalco, Jesús P. ; OLIVEIRA, M C F ; Cesar Jr, Roberto M.	Qualis nao identificado	IEEE eScience Conference
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2013		Shape Analysis using the Spectral Graph Wavelet Transform	IEEE eScience Conference	Leandro, Jorge J. G. ; Cesar Jr, Roberto M. ; FERIS, Rogério S.	Qualis nao identificado	IEEE eScience Conference
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2012		Visual rhythm-based plankton detection method for ballast water quality assessment	IEEE ICIP	MATUSZEWSKI, D. J. ; MARTINS, C. I. O. ; Cesar Jr., R.M. ; STRICKLER, R. ; LOPES, R. M.	Qualis nao identificado	IEEE ICIP
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2012		Data-intensive analysis of HIV mutations	IEEE International Conference on e-science	CINTHO, M. ; FERREIRA, J e ; Cesar Jr., Roberto M.	B1	IEEE International Conference on e-science and Grid Computing
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2012		Data-Oriented Research for Bioresource Utilization:a Case Study to Investigate Water Uptake in Cellulose Using Principal Components	IEEE International Conference on e-science	LIU, Y. ; DRIEMEIER, C. ; Cesar Jr., Roberto M.	B1	IEEE International Conference on e-science and Grid Computing
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2012		Towards a quantitative academic internationalization assessment of Brazilian research groups	2nd workshop on Analyzing and Improving Collaborative eScience with Social Networks - IEEE eScience - 2012	CERVANTES, E. P. ; CHALCO, J M ; Cesar Jr., Roberto M.	Qualis nao identificado	2nd workshop on Analyzing and Improving Collaborative eScience with Social Networks - IEEE eScience - 2012
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2011		Keygraphs for Sign Detection in Indoor Environments by Mobile Phones	8th IAPR-TC-15 Workshop on Graph-based Representations in Pattern Recognition	MORIMITSU, H. ; PIMENTEL, R. ; HIRATA JR., R. ; CESAR JUNIOR, R. M.	Qualis nao identificado	8th IAPR-TC-15 Workshop on Graph-based Representations in Pattern Recognition
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2011		Segmentation of Similar Images using Graph Matching and Community Detection	8th IAPR-TC-15 Workshop on Graph-based Representations in Pattern Recognition	MARTINS, C. I. O. ; CESAR JUNIOR, R. M. ; FREITAS, A. V. L. ; JORGE, L. R. ; Leandro, Jorge J. G.	Qualis nao identificado	8th IAPR-TC-15 Workshop on Graph-based Representations in Pattern Recognition
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2011		A hierarchical Markov random field for road network extraction and its applicationwith optical and sar data	2011 IEEE International Geoscience and Remote Sensing Symposium	PERCIANO, T. ; TUPIN, F. ; HIRATA JR., R. ; Cesar Jr., R.M.	B1	IEEE International Geoscience and Remote Sensing Symposium
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2011		3D Facial Expression Analysis by using 2D and 3D Wavelet Transforms	18th IEEE International Conference on Image Processing - ICIP 2011	PINTO, S. C. D. ; Mena-Chalco, Jesús P. ; LOPES, Fabrício Martins ; VELHO, L ; Cesar Jr., R.M.	A1	IEEE International Conference on Image Processing
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2011		Wi-Fi and Keygraphs for Localization with Cell Phones	Second IEEE International Workshop on Mobile Vision - IWMV - ICCV	MORIMITSU, H. ; PIMENTEL, R. ; HASHIMOTO, M. ; Cesar Jr., R.M. ; HIRATA JR., R.	Qualis nao identificado	Second IEEE International Workshop on Mobile Vision - IWMV - ICCV
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2011		Towards automatic discovery of co-authorship networks in the Brazilian academic are	Workshop On Measuring the Impact of e-Science Research (MeSR 2011) - IEEE eScience 2011	Mena-Chalco, Jesús Pascual ; Cesar Jr., R.M.	Qualis nao identificado	Workshop On Measuring the Impact of e-Science Research (MeSR 2011) - IEEE eScience 2011
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2010		A column generation approach for the graph matching problem	International Conference on Pattern Recognition - ICPR	FREIRE, A. ; CESAR JUNIOR, R. M. ; FERREIRA, C. E.	A1	International Conference on Pattern Recognition
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2010		SFFS-MR: a floating search strategy for GRNs inference	5th IAPR International Conference on Pattern Recognition in Bioinformatics	LOPES, Fabrício Martins ; MARTINS, C. I. O. ; Martins, David C. ; BARRERA, J ; CESAR JUNIOR, R. M.	A1	International Conference on Pattern Recognition
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2010		Sparse Representations for Efficient Shape Matching	SIBGRAPI	NOMA, A. ; CESAR JUNIOR, R. M.	B1	
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2010		3D Linear Facial Animation Based on Real Data	SIBGRAPI	MATTOS, A. B. ; Mena-Chalco, Jesús P. ; CESAR JUNIOR, R. M. ; VELHO, L	B1	
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2010		Image Segmentation Using Component Tree and Normalized Cut	SIBGRAPI	CARVALHO, M. A. ; COSTA, A. ; FERREIRA, A. ; CESAR JUNIOR, R. M.	B1	
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2009		Object Detection by Keygraph Classification	7th IAPR-TC-15 Workshop on Graph-based Representations in Pattern Recognition	HASHIMOTO, M. ; CESAR JUNIOR, R. M.	Qualis nao identificado	7th IAPR-TC-15 Workshop on Graph-based Representations in Pattern Recognition
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2009		Revealing temporal genetic regulatory networks from steady-state distributions	IEEE International Workshop on Genomic Signal Processing and Statistics - GENSIPS	MARTINS JR, D C ; Oliveira, E. A. ; SILVA, P J S ; HASHIMOTO, R. ; CESAR JUNIOR, R. M.	B4	IEEE International Workshop on Genomic Signal Processing and Statistics
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2009		Comparative study of GRN's inference methods based on feature selection by mutual information	IEEE International Workshop on Genomic Signal Processing and Statistics - GENSIPS	LOPES, Fabrício Martins ; MARTINS JR, D C ; CESAR JUNIOR, R. M.	B4	IEEE International Workshop on Genomic Signal Processing and Statistics
